Date,HomeTeam,AwayTeam,Result
12/01/2019 12:30,West Ham,Arsenal,
12/01/2019 15:00,Brighton,Liverpool,
12/01/2019 15:00,Burnley,Fulham,
12/01/2019 15:00,Cardiff,Huddersfield,
12/01/2019 15:00,Crystal Palace,Watford,
12/01/2019 15:00,Leicester,Southampton,
12/01/2019 17:30,Chelsea,Newcastle,
13/01/2019 14:15,Everton,Bournemouth,
13/01/2019 16:03,Spurs,Man Utd,
14/01/2019 20:00,Man City,Wolves,
19/01/2019 12:30,Wolves,Leicester,
19/01/2019 15:00,Bournemouth,West Ham,
19/01/2019 15:00,Liverpool,Crystal Palace,
19/01/2019 15:00,Man Utd,Brighton,
19/01/2019 15:00,Newcastle,Cardiff,
19/01/2019 15:00,Southampton,Everton,
19/01/2019 15:00,Watford,Burnley,
19/01/2019 17:30,Arsenal,Chelsea,
20/01/2019 13:30,Huddersfield,Man City,
20/01/2019 16:00,Fulham,Spurs,
29/01/2019 19:45,Arsenal,Cardiff,
29/01/2019 19:45,Bournemouth,Chelsea,
29/01/2019 19:45,Fulham,Brighton,
29/01/2019 19:45,Huddersfield,Everton,
29/01/2019 19:45,Wolves,West Ham,
29/01/2019 20:00,Man Utd,Burnley,
30/01/2019 19:45,Southampton,Crystal Palace,
30/01/2019 20:00,Newcastle,Man City,
30/01/2019 20:00,Liverpool,Leicester,
30/01/2019 20:00,Spurs,Watford,
02/02/2019 12:30,Spurs,Newcastle,
02/02/2019 15:00,Brighton,Watford,
02/02/2019 15:00,Burnley,Southampton,
02/02/2019 15:00,Chelsea,Huddersfield,
02/02/2019 15:00,Crystal Palace,Fulham,
02/02/2019 15:00,Everton,Wolves,
02/02/2019 17:30,Cardiff,Bournemouth,
03/02/2019 14:05,Leicester,Man Utd,
03/02/2019 16:30,Man City,Arsenal,
04/02/2019 20:00,West Ham,Liverpool,
09/02/2019 12:30,Fulham,Man Utd,
09/02/2019 15:00,Crystal Palace,West Ham,
09/02/2019 15:00,Huddersfield,Arsenal,
09/02/2019 15:00,Liverpool,Bournemouth,
09/02/2019 15:00,Southampton,Cardiff,
09/02/2019 15:00,Watford,Everton,
09/02/2019 17:30,Brighton,Burnley,
10/02/2019 13:30,Spurs,Leicester,
10/02/2019 16:00,Man City,Chelsea,
11/02/2019 20:00,Wolves,Newcastle,
22/02/2019 19:45,Cardiff,Watford,
22/02/2019 19:45,West Ham,Fulham,
23/02/2019 12:30,Burnley,Spurs,
23/02/2019 15:00,Bournemouth,Wolves,
23/02/2019 15:00,Leicester,Crystal Palace,
23/02/2019 15:00,Newcastle,Huddersfield,
23/02/2019 17:30,Everton,Man City,
24/02/2019 12:00,Chelsea,Brighton,
24/02/2019 14:05,Arsenal,Southampton,
24/02/2019 14:05,Man Utd,Liverpool,
26/02/2019 19:45,Cardiff,Everton,
26/02/2019 19:45,Huddersfield,Wolves,
26/02/2019 19:45,Leicester,Brighton,
26/02/2019 20:00,Man City,West Ham,
27/02/2019 19:45,Arsenal,Bournemouth,
